Date,Last
27-12-2021,10037.67
23-12-2021,9900.30
22-12-2021,9838.90
21-12-2021,9738.73
20-12-2021,9567.91
17-12-2021,9678.04
16-12-2021,9778.09
15-12-2021,9863.92
14-12-2021,9705.06
13-12-2021,9776.69
10-12-2021,9866.62
09-12-2021,9773.19
08-12-2021,9842.68
07-12-2021,9812.20
06-12-2021,9613.02
03-12-2021,9501.28
02-12-2021,9581.79
01-12-2021,9446.21
30-11-2021,9558.33
29-11-2021,9741.78
26-11-2021,9614.25
24-11-2021,9837.60
23-11-2021,9814.65
22-11-2021,9798.29
19-11-2021,9828.80
18-11-2021,9842.35
17-11-2021,9808.27
16-11-2021,9831.91
15-11-2021,9793.53
12-11-2021,9793.22
11-11-2021,9722.08
10-11-2021,9716.72
09-11-2021,9795.12
08-11-2021,9828.81
05-11-2021,9819.98
04-11-2021,9782.48
03-11-2021,9740.47
02-11-2021,9677.95
01-11-2021,9642.45
29-10-2021,9625.02
28-10-2021,9605.23
27-10-2021,9511.27
26-10-2021,9559.39
25-10-2021,9541.99
22-10-2021,9496.86
21-10-2021,9506.91
20-10-2021,9477.82
19-10-2021,9443.12
18-10-2021,9373.68
15-10-2021,9342.15
14-10-2021,9272.97
13-10-2021,9116.39
12-10-2021,9088.73
11-10-2021,9110.76
08-10-2021,9173.74
07-10-2021,9191.19
06-10-2021,9113.46
05-10-2021,9076.19
04-10-2021,8980.64
01-10-2021,9098.25
30-09-2021,8994.83
29-09-2021,9102.62
28-09-2021,9087.46
27-09-2021,9275.87
24-09-2021,9301.49
23-09-2021,9287.80
22-09-2021,9176.08
21-09-2021,9089.55
20-09-2021,9096.52
17-09-2021,9253.57
16-09-2021,9338.61
15-09-2021,9352.83
14-09-2021,9273.99
13-09-2021,9325.29
10-09-2021,9304.03
09-09-2021,9375.99
08-09-2021,9418.57
07-09-2021,9430.68
03-09-2021,9462.54
02-09-2021,9465.47
01-09-2021,9437.15
31-08-2021,9433.58
30-08-2021,9445.24
27-08-2021,9404.15
26-08-2021,9321.74
25-08-2021,9376.00
24-08-2021,9355.11
23-08-2021,9341.09
20-08-2021,9261.31
19-08-2021,9186.07
18-08-2021,9173.93
17-08-2021,9271.83
16-08-2021,9337.18
13-08-2021,9312.51
12-08-2021,9297.20
11-08-2021,9267.40
10-08-2021,9244.22
09-08-2021,9235.05
06-08-2021,9243.03
05-08-2021,9226.49
04-08-2021,9170.76
03-08-2021,9213.35
02-08-2021,9138.36
30-07-2021,9155.21
29-07-2021,9204.25
28-07-2021,9164.62
27-07-2021,9166.27
26-07-2021,9209.63
23-07-2021,9187.64
22-07-2021,9094.95
21-07-2021,9075.97
20-07-2021,9001.77
19-07-2021,8867.07
16-07-2021,9009.89
15-07-2021,9078.33
14-07-2021,9107.85
13-07-2021,9096.15
12-07-2021,9128.22
09-07-2021,9096.84
08-07-2021,8995.26
07-07-2021,9071.14
06-07-2021,9040.76
02-07-2021,9058.66
01-07-2021,8990.08
30-06-2021,8942.78
29-06-2021,8930.67
28-06-2021,8927.40
25-06-2021,8906.79
24-06-2021,8877.06
23-06-2021,8825.01
22-06-2021,8834.56
21-06-2021,8789.52
18-06-2021,8667.76
17-06-2021,8782.58
16-06-2021,8786.18
15-06-2021,8833.68
14-06-2021,8851.17
11-06-2021,8832.94
10-06-2021,8815.56
09-06-2021,8774.31
08-06-2021,8790.00
07-06-2021,8788.28
04-06-2021,8795.08
03-06-2021,8717.97
02-06-2021,8748.30
01-06-2021,8734.74
28-05-2021,8738.77
27-05-2021,8730.97
26-05-2021,8720.04
25-05-2021,8703.59
24-05-2021,8722.00
21-05-2021,8635.55
20-05-2021,8641.98
19-05-2021,8550.95
18-05-2021,8574.98
17-05-2021,8647.57
14-05-2021,8669.49
13-05-2021,8541.39
12-05-2021,8437.24
11-05-2021,8620.98
10-05-2021,8696.29
07-05-2021,8787.82
06-05-2021,8722.04
05-05-2021,8650.04
04-05-2021,8643.91
03-05-2021,8702.03
30-04-2021,8678.16
29-04-2021,8740.35
28-04-2021,8681.17
27-04-2021,8688.45
26-04-2021,8690.26
23-04-2021,8674.80
22-04-2021,8580.73
21-04-2021,8659.80
20-04-2021,8579.95
19-04-2021,8638.42
16-04-2021,8684.51
15-04-2021,8653.29
14-04-2021,8558.16
13-04-2021,8592.25
12-04-2021,8564.03
09-04-2021,8565.57
08-04-2021,8499.85
07-04-2021,8462.17
06-04-2021,8449.54
05-04-2021,8457.40
01-04-2021,8335.91
31-03-2021,8238.48
30-03-2021,8208.10
29-03-2021,8233.25
26-03-2021,8240.38
25-03-2021,8105.51
24-03-2021,8063.00
23-03-2021,8106.83
22-03-2021,8169.14
19-03-2021,8112.13
18-03-2021,8116.17
17-03-2021,8237.35
16-03-2021,8213.63
15-03-2021,8226.32
12-03-2021,8172.90
11-03-2021,8162.58
10-03-2021,8078.05
